State,Household_ID,Income,Family_Size,Land_Owned,Occupation,Aadhaar_Linked,Existing_Benefits,Total_Ration_Cards,Age_Group,Eligible,Duplicate_Flag,Fraud_Flag
Tamil Nadu,HH00000,84326,5,0,Business,Yes,2,1,Adult,0,0,1
Maharashtra,HH00001,15205,3,0,Government Job,Yes,1,2,Adult,1,1,0
Rajasthan,HH00002,92874,1,0,Business,Yes,2,1,Child,0,0,1
Karnataka,HH00003,15748,6,1,Private Job,Yes,2,2,Child,0,1,0
Tamil Nadu,HH00004,24097,1,0,Business,No,1,2,Child,0,1,0
West Bengal,HH00005,6092,9,0,Farmer,Yes,0,1,Child,1,0,0
Bihar,HH00006,56311,2,0,Business,No,1,2,Senior,0,1,0
Tamil Nadu,HH00007,25692,1,1,Business,Yes,2,2,Senior,0,1,0
Rajasthan,HH00008,26862,7,1,Private Job,No,2,1,Senior,0,0,0
Karnataka,HH00009,93396,6,1,Private Job,Yes,1,2,Adult,0,1,0
Maharashtra,HH00010,82507,6,0,Labour,No,2,2,Senior,0,1,1
Rajasthan,HH00011,83152,5,0,Farmer,Yes,0,2,Child,0,1,0
Rajasthan,HH00012,73469,4,1,Labour,Yes,1,2,Senior,0,1,0
Bihar,HH00013,7926,4,0,Private Job,No,2,1,Child,1,0,0
Uttar Pradesh,HH00014,94299,3,0,Business,Yes,0,2,Senior,0,1,0
Karnataka,HH00015,6969,8,0,Private Job,Yes,2,2,Senior,1,1,0
Telangana,HH00016,38733,7,0,Government Job,No,0,2,Child,0,1,0
Rajasthan,HH00017,72855,9,1,Business,Yes,2,1,Child,0,0,1
Uttar Pradesh,HH00018,44743,1,0,Labour,Yes,1,1,Adult,0,0,0
Telangana,HH00019,42876,7,0,Business,Yes,2,2,Adult,0,1,0
Karnataka,HH00020,23323,4,0,Government Job,No,1,2,Adult,0,1,0
Andhra Pradesh,HH00021,19428,7,0,Private Job,Yes,0,1,Senior,1,0,0
West Bengal,HH00022,37578,1,0,Farmer,Yes,0,2,Senior,0,1,0
Uttar Pradesh,HH00023,89486,5,0,Farmer,Yes,2,2,Child,0,1,1
Madhya Pradesh,HH00024,67140,3,0,Farmer,No,1,2,Child,0,1,0
Andhra Pradesh,HH00025,86829,5,0,Private Job,No,1,2,Adult,0,1,0
West Bengal,HH00026,9364,4,0,Farmer,Yes,0,1,Child,1,0,0
Bihar,HH00027,38349,2,0,Government Job,Yes,0,1,Senior,0,0,0
Tamil Nadu,HH00028,3691,4,0,Private Job,Yes,2,1,Child,1,0,0
Maharashtra,HH00029,98598,3,0,Farmer,Yes,0,1,Child,0,0,0
Madhya Pradesh,HH00030,69467,1,1,Labour,Yes,0,1,Child,0,0,0
Bihar,HH00031,48896,8,0,Private Job,No,1,2,Child,0,1,0
Karnataka,HH00032,60062,5,0,Private Job,Yes,1,1,Child,0,0,0
Bihar,HH00033,82762,4,0,Business,Yes,1,2,Adult,0,1,0
Tamil Nadu,HH00034,16861,5,1,Farmer,Yes,0,1,Adult,0,0,0
Karnataka,HH00035,99837,4,0,Labour,Yes,2,2,Senior,0,1,1
Madhya Pradesh,HH00036,91302,3,0,Government Job,Yes,2,1,Adult,0,0,1
Tamil Nadu,HH00037,66928,5,1,Private Job,Yes,0,1,Child,0,0,0
Telangana,HH00038,86231,4,1,Government Job,Yes,2,2,Adult,0,1,1
Maharashtra,HH00039,44347,1,1,Government Job,Yes,0,2,Senior,0,1,0
Madhya Pradesh,HH00040,6121,3,0,Government Job,No,2,2,Adult,1,1,0
Telangana,HH00041,86793,8,0,Business,Yes,0,1,Senior,0,0,0
West Bengal,HH00042,31164,7,0,Government Job,Yes,1,1,Senior,0,0,0
Madhya Pradesh,HH00043,28491,2,1,Farmer,Yes,2,2,Senior,0,1,0
West Bengal,HH00044,62222,1,0,Farmer,No,1,1,Child,0,0,0
Karnataka,HH00045,26165,3,0,Labour,No,1,2,Senior,0,1,0
Telangana,HH00046,6748,5,1,Labour,Yes,2,1,Adult,0,0,0
Maharashtra,HH00047,29553,1,1,Government Job,Yes,0,2,Adult,0,1,0
Tamil Nadu,HH00048,63380,3,1,Government Job,Yes,1,2,Adult,0,1,0
Rajasthan,HH00049,47331,3,1,Business,Yes,1,1,Senior,0,0,0
Bihar,HH00050,99033,5,1,Government Job,Yes,0,2,Senior,0,1,0
Andhra Pradesh,HH00051,99844,3,0,Government Job,Yes,0,1,Child,0,0,0
Maharashtra,HH00052,42560,9,1,Government Job,Yes,2,1,Senior,0,0,0
Telangana,HH00053,56865,1,1,Private Job,Yes,2,1,Adult,0,0,0
Rajasthan,HH00054,49686,4,0,Private Job,Yes,0,2,Child,0,1,0
Maharashtra,HH00055,78910,4,0,Business,Yes,1,2,Adult,0,1,0
Telangana,HH00056,7675,1,1,Business,Yes,0,2,Child,0,1,0
Uttar Pradesh,HH00057,69706,2,0,Farmer,Yes,2,1,Senior,0,0,1
Uttar Pradesh,HH00058,80986,1,1,Business,Yes,1,1,Child,0,0,0
West Bengal,HH00059,79216,6,0,Farmer,Yes,1,2,Senior,0,1,0
Maharashtra,HH00060,13068,3,0,Government Job,No,2,1,Senior,1,0,0
Uttar Pradesh,HH00061,57460,7,0,Business,Yes,1,1,Adult,0,0,0
Telangana,HH00062,49418,5,0,Business,No,0,1,Senior,0,0,0
West Bengal,HH00063,29206,9,0,Business,Yes,2,2,Senior,0,1,0
Telangana,HH00064,3287,7,0,Farmer,Yes,1,2,Senior,1,1,0
West Bengal,HH00065,25337,4,0,Farmer,Yes,2,2,Adult,0,1,0
Maharashtra,HH00066,23666,5,0,Labour,No,1,1,Senior,0,0,0
Rajasthan,HH00067,4161,5,0,Farmer,Yes,0,1,Adult,1,0,0
Tamil Nadu,HH00068,93071,5,0,Farmer,Yes,2,2,Child,0,1,1
Madhya Pradesh,HH00069,41751,9,1,Private Job,Yes,1,2,Adult,0,1,0
Rajasthan,HH00070,85063,3,0,Business,No,0,2,Adult,0,1,0
Karnataka,HH00071,92389,6,0,Farmer,No,0,1,Senior,0,0,0
Telangana,HH00072,17758,8,0,Business,Yes,0,2,Adult,1,1,0
Karnataka,HH00073,68780,9,0,Business,Yes,1,2,Child,0,1,0
Rajasthan,HH00074,6178,7,0,Private Job,Yes,1,2,Adult,1,1,0
West Bengal,HH00075,34831,3,0,Business,No,0,1,Senior,0,0,0
Madhya Pradesh,HH00076,5176,1,1,Farmer,Yes,0,2,Child,0,1,0
Madhya Pradesh,HH00077,36654,4,1,Business,No,0,1,Senior,0,0,0
Andhra Pradesh,HH00078,29627,6,1,Labour,Yes,0,2,Senior,0,1,0
Madhya Pradesh,HH00079,55550,3,0,Labour,Yes,0,1,Adult,0,0,0
Tamil Nadu,HH00080,47910,1,0,Private Job,No,1,2,Senior,0,1,0
Madhya Pradesh,HH00081,93417,6,0,Farmer,Yes,2,2,Child,0,1,1
Rajasthan,HH00082,61251,1,1,Private Job,No,2,1,Child,0,0,1
Andhra Pradesh,HH00083,38422,9,1,Labour,Yes,2,2,Child,0,1,0
Rajasthan,HH00084,14984,1,0,Farmer,No,1,2,Child,1,1,0
Rajasthan,HH00085,92312,6,0,Business,Yes,2,2,Adult,0,1,1
Bihar,HH00086,64386,1,0,Farmer,Yes,2,2,Child,0,1,1
Andhra Pradesh,HH00087,86291,7,1,Government Job,Yes,2,1,Adult,0,0,1
Rajasthan,HH00088,10135,3,1,Farmer,Yes,2,1,Senior,0,0,0
Bihar,HH00089,3320,6,0,Business,Yes,0,1,Senior,1,0,0
Bihar,HH00090,97171,7,1,Government Job,No,1,1,Adult,0,0,0
Andhra Pradesh,HH00091,24684,1,0,Private Job,Yes,2,1,Senior,0,0,0
Karnataka,HH00092,58913,1,1,Farmer,Yes,0,1,Senior,0,0,0
West Bengal,HH00093,91774,5,1,Private Job,No,2,1,Child,0,0,1
Tamil Nadu,HH00094,24889,6,1,Farmer,Yes,2,1,Senior,0,0,0
West Bengal,HH00095,98849,9,0,Labour,Yes,2,2,Senior,0,1,1
Madhya Pradesh,HH00096,51899,1,0,Labour,Yes,2,2,Adult,0,1,0
Tamil Nadu,HH00097,13770,4,0,Business,No,2,1,Child,1,0,0
Madhya Pradesh,HH00098,42321,8,0,Labour,Yes,0,1,Senior,0,0,0
Rajasthan,HH00099,88962,9,1,Government Job,Yes,2,1,Senior,0,0,1
Telangana,HH00100,44777,3,0,Government Job,No,0,2,Adult,0,1,0
Andhra Pradesh,HH00101,49250,2,0,Farmer,No,2,1,Senior,0,0,0
Tamil Nadu,HH00102,76034,4,1,Private Job,Yes,1,1,Child,0,0,0
Tamil Nadu,HH00103,43130,2,0,Government Job,Yes,0,1,Child,0,0,0
Rajasthan,HH00104,84931,1,0,Farmer,No,2,1,Child,0,0,1
Karnataka,HH00105,52346,3,0,Private Job,Yes,0,2,Adult,0,1,0
Bihar,HH00106,5537,7,0,Labour,No,2,1,Child,1,0,0
Rajasthan,HH00107,87762,1,0,Farmer,Yes,2,2,Child,0,1,1
Uttar Pradesh,HH00108,18216,2,1,Private Job,Yes,0,2,Child,0,1,0
Bihar,HH00109,87149,1,0,Business,Yes,2,2,Child,0,1,1
Andhra Pradesh,HH00110,6009,8,1,Business,Yes,2,1,Child,0,0,0
Bihar,HH00111,92904,5,0,Government Job,Yes,2,2,Child,0,1,1
Karnataka,HH00112,32327,8,0,Private Job,Yes,2,1,Adult,0,0,0
Bihar,HH00113,17209,3,0,Business,Yes,2,1,Child,1,0,0
Andhra Pradesh,HH00114,51443,7,0,Government Job,Yes,2,1,Senior,0,0,0
Karnataka,HH00115,18029,8,0,Farmer,Yes,0,1,Adult,1,0,0
West Bengal,HH00116,70613,6,0,Farmer,No,1,1,Senior,0,0,0
Tamil Nadu,HH00117,82443,7,0,Private Job,Yes,2,1,Senior,0,0,1
